X,Y,gid,Name,description,altitudeMode,CODE_10KM,CD_SIG,FID,Field_1
9.30054316965262,42.8494316136387,8674,10kmL93E121N621,,clampToGround,E121N621,10kmL93E121N621,8673,10kmL93E121N621
9.36947503138317,43.4770309767016,8681,10kmL93E121N628,,clampToGround,E121N628,10kmL93E121N628,8680,10kmL93E121N628
9.31496693142103,41.8567549839203,8688,10kmL93E122N610,,clampToGround,E122N610,10kmL93E122N610,8687,10kmL93E122N610
9.38288262387663,42.4837494759355,8695,10kmL93E122N617,,clampToGround,E122N617,10kmL93E122N617,8694,10kmL93E122N617
9.45227173903415,43.1110967036208,8702,10kmL93E122N624,,clampToGround,E122N624,10kmL93E122N624,8701,10kmL93E122N624
9.4055189911873,41.5809595252835,8709,10kmL93E123N607,,clampToGround,E123N607,10kmL93E123N607,8708,10kmL93E123N607
9.4740825376135,42.2076987297407,8716,10kmL93E123N614,,clampToGround,E123N614,10kmL93E123N614,8715,10kmL93E123N614
9.54412635168674,42.8348201906738,8723,10kmL93E123N621,,clampToGround,E123N621,10kmL93E123N621,8722,10kmL93E123N621
9.51485390576333,41.4841284317805,8730,10kmL93E124N606,,clampToGround,E124N606,10kmL93E124N606,8729,10kmL93E124N606
9.58447011348322,42.1107234864094,8737,10kmL93E124N613,,clampToGround,E124N613,10kmL93E124N613,8736,10kmL93E124N613
